subject,body,label
Email Upgrade,Upgrade your email storage now before you lose access,1
Unusual Purchase,We noticed a large purchase Please confirm if it was you,1
PayPal Alert,Your PayPal account is restricted Confirm details to continue,1
Job Offer,You have been selected for a high paying job Apply now,1
Tax Refund,You are eligible for a tax refund Click here to claim,1
Delivery Hold,Your parcel is on hold due to incomplete address Fix now,1
Confirm Identity,We need to confirm your identity Provide personal details here,1
Subscription Canceled,Your subscription has been canceled Renew now to keep access,1
Bank Login Attempt,Your account login attempt failed Reset password immediately,1
Amazon Gift,You have received a 500 Amazon gift card Claim it here,1
Apple ID Alert,Your Apple ID was used in another country Verify account now,1
Free Vacation,You have been selected for a free vacation Confirm here,1
Insurance Claim,Your insurance claim is pending Provide bank info to release funds,1
Suspended Card,Your credit card has been suspended Verify to unlock,1
Social Media Warning,Your account will be deleted Confirm to prevent loss,1
Urgent Payment,Make an urgent payment today to avoid penalty,1
Password Recovery,Reset your password using the link below,1
Unverified Account,Your account is unverified Confirm details immediately,1
Fake Invoice,Attached invoice must be paid today,1
Click to Renew,Your service will expire Click here to renew,1
Bank Transfer Alert,Unusual bank transfer detected Verify immediately,1
Account Validation,Validate your account to avoid closure,1
Unlock Access,Your access is restricted Click here to unlock,1
Student Loan Forgiveness,Apply now for immediate loan forgiveness,1
Cash Reward,You are eligible for 1000 cash reward Claim now,1
Mobile Alert,Your mobile bill is overdue Pay immediately,1
Virus Detected,Your device is infected Download antivirus now,1
Fake IT Support,We found issues with your computer Click here to fix,1
Office 365 Alert,Your mailbox is expiring Renew subscription today,1
Bank Verification,We need to verify your bank details Provide them now,1
Membership Terminated,Your membership will be terminated Renew immediately,1
Fraudulent Transaction,A suspicious transaction was made Confirm if it was you,1
Email Confirmation,Confirm your email to continue using your account,1
Urgent Request,Please wire 5000 immediately to settle account,1
Upgrade Account,Upgrade your account now for continued access,1
Suspended Service,Your service has been suspended Reactivate now,1
Sign In Required,Please sign in to verify ownership of this account,1
Lunch Invitation,Would you like to join us for lunch tomorrow at 1 PM,0
Library Hours,The library will be open until 9 PM during exam week,0
Project Deadline,Reminder The project submission deadline is next Friday,0
Hotel Confirmation,Your hotel booking at Grand Plaza is confirmed for Dec 10,0
Job Interview,Your job interview is scheduled for Monday at 2 PM,0
Team Building,We are planning a team building event this weekend,0
Account Statement,Your savings account statement is now available,0
Dental Appointment,Your dental cleaning appointment is scheduled for 11 AM,0
Birthday Invite,Join us for a birthday party on Saturday at 6 PM,0
Book Fair,The annual book fair starts next Thursday at the town hall,0
Flight Confirmation,Your ticket to Chicago has been issued for Oct 21,0
Music Concert,Your concert tickets are confirmed for November 4,0
Donation Receipt,Thank you for donating to our charity,0
Fitness Class,Your yoga class is confirmed for Wednesday at 7 AM,0
Job Application Update,We have received your application and will contact you soon,0
Car Insurance,Your car insurance policy has been renewed successfully,0
Parcel Delivered,Your parcel has been left at your front door,0
Exam Schedule,The final exam schedule has been posted on the portal,0
Newsletter Subscription,You are now subscribed to our weekly newsletter,0
Bill Payment,Your electricity bill payment has been processed,0
Vacation Leave,Your vacation leave has been approved from Dec 1 to Dec 10,0
Membership Renewal,Your gym membership has been renewed for another year,0
Event Reminder,Reminder The company picnic is this Saturday at 10 AM,0
School Update,The school website has been updated with new events,0
Bus Ticket,Your bus ticket to Boston has been confirmed,0
Appointment Reminder,This is a reminder for your physiotherapy session tomorrow,0
Exam Hall Ticket,Your exam hall ticket is now available for download,0
Performance Bonus,Your performance bonus will be added to your salary,0
Seminar Invite,You are invited to a seminar on workplace productivity,0
System Maintenance,Our system will be down for maintenance on Sunday night,0
Payment Confirmation,Your payment of 250 USD has been confirmed,0
Water Bill,Your water bill for this month is ready for payment,0
Holiday Party,You are invited to our annual holiday party on Dec 22,0
Parking Permit,Your parking permit is valid until June 2025,0
Concert Reminder,Your concert is tomorrow at 7 PM Don’t forget your ticket,0
Laptop Pickup,Your repaired laptop is ready for pickup at the service center,0
Doctor Follow-up,Your follow-up appointment with Dr Lee is next week,0
Train Ticket,Your train ticket for Nov 3 has been issued,0
Welcome Bonus,You have received a 10% welcome discount on your next order,0
Parent Teacher Meeting,Your child’s parent teacher meeting is scheduled for Tuesday,0
Movie Night,We are hosting a movie night on campus Friday evening,0
Job Offer,We are pleased to offer you the position you applied for,0
Festival Greeting,Wishing you and your family a happy festive season,0
New Policy,Our company has updated the leave policy effective immediately,0
Exam Center,Your exam center has been allotted at Downtown School,0
Bus Service,The shuttle bus service will run every 30 minutes,0
Online Payment,Your online payment was successful,0
College Admission,Your admission has been confirmed at State University,0
Food Delivery,Your food order has been dispatched and will arrive shortly,0
Account Suspension,Your account will be suspended unless you confirm details now,1
Credit Card Alert,Unusual charges detected Verify card info to continue,1
Tax Form Update,Submit updated tax form to avoid penalty,1
Fake Job Alert,Immediate openings available Apply with your details today,1
Banking Error,Your bank account balance is incorrect Fix it by logging in,1
Restricted Access,Your email access is restricted Click here to restore,1
Download Attachment,View attached file for important information,1
Mobile Alert,Your phone account has been locked Pay immediately,1
Unclaimed Funds,You have unclaimed funds waiting Provide account info,1
Password Reset,Reset your password immediately using this secure link,1
Urgent Wire Transfer,Please wire money urgently to complete transaction,1
Service Renewal,Your service has expired Renew with this link,1
Email Hack,Your email has been hacked Change password now,1
Cloud Storage Alert,Your storage is almost full Upgrade today,1
Amazon Purchase,Your Amazon purchase could not be processed Confirm card details,1
Government Grant,You qualify for a government grant Apply here,1
Bank Refund,You have been issued a refund Confirm to receive,1
Crypto Offer,Invest now in crypto and double your money,1
Apple Pay Error,Your Apple Pay has been disabled Fix now,1
Payment Request,Transfer funds immediately to complete order,1
System Lock,Your account is locked due to suspicious activity Unlock now,1
Confirm Subscription,Confirm your subscription to continue enjoying services,1
Delivery Failure,Your delivery failed due to incorrect details Update now,1
Account Disabled,Your account has been disabled Click here to reactivate,1
Urgent Document,Please open attachment for urgent document review,1
Insurance Refund,You are owed an insurance refund Submit bank info,1
Expired Card,Your card has expired Update information to continue,1
Student Loan Alert,Your student loan requires immediate payment Click here,1
Upgrade Wallet,Upgrade your wallet now to avoid suspension,1
Lottery Reward,Congratulations You won a lottery Redeem now,1
Sign In Alert,Your sign in attempt failed Confirm to secure account,1
Ticket Payment,Your parking ticket is unpaid Pay immediately,1
Fake Survey,Complete this survey and win a prize,1
Bank Security,Your bank needs to revalidate your login credentials,1
System Error,An error occurred in your system Fix with this patch,1
Medical Claim,Submit details to process your pending medical claim,1
Job Scam,You have been preselected for a high salary job Confirm details,1
Phony Alert,Your security code is expiring Verify new one here,1
Fraud Alert,A fraudulent transaction was attempted on your account,1
Gift Card Claim,You have received a 100 gift card Redeem now,1
Microsoft Notice,Your Microsoft account needs verification Provide details,1
Pay Invoice,Pay attached invoice immediately to avoid penalty,1
Charity Scam,Donate now to urgent relief fund via link,1
Urgent Subscription,Your subscription ends today Renew to avoid suspension,1
School Fee,Pay overdue school fee using link to avoid late fee,1
Bank Login,Your login attempt failed Provide username and password,1
Document Verification,Verify attached documents immediately to continue,1
Crypto Scam,Exclusive crypto offer Double your investment today,1
Fake Alert,Your account alert requires immediate action Click now,1

